# Author(s); Coelho, Jose and Vanhoucke, Mario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Reference;Coelho, J., & Vanhoucke, M. (2020). Going to the core of hard resource-constrained project scheduling instances. Computers & Operations Research, 121, 104976. https://doi.org/10.1016/j.cor.2020.104976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Date; 2019/08/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Hardware / software; STEVIN HPC-UGent infrastructure, C++, compiler intel/2017.02, Linux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Stop criteria(s);Several procedures and stop criteria, the last one with 20 hours. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Submission date; 2020/03/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Type;Value;Time;Solution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;lower bound;50;3600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;heuristic;61;50;0;0;12;34;14;9;8;38;16;43;53;57;41;19;59;48;50;41;40;35;14;27;35;24;34;25;36;19;19;0;61;
36;lower bound;54;3600300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;heuristic;52;50;0;0;4;4;16;0;2;11;6;18;3;2;0;24;11;27;9;34;45;38;33;45;19;26;34;6;6;8;9;5;52;
37;lower bound;47;3600380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;heuristic;57;50;0;0;15;2;8;19;5;0;25;33;12;24;42;15;34;13;25;34;6;54;42;38;39;45;38;27;48;40;15;6;45;57
38;lower bound;55;72000220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;heuristic;49;50;0;4;7;0;19;10;33;0;4;3;10;0;23;16;24;25;8;36;33;36;31;12;10;25;33;42;19;31;26;20;47;49
39;lower bound;47;72000310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;heuristic;70;50;0;10;20;12;34;25;18;39;44;49;22;25;34;40;0;69;58;48;34;45;65;38;48;0;20;12;27;12;26;12;0;70
40;lower bound;64;72000370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;heuristic;50;50;0;18;0;22;5;33;41;0;15;29;5;32;0;14;40;14;34;15;6;32;6;21;50;;;;;;;;;
41;lower bound;48;3600000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;heuristic;48;1000;0;6;0;0;1;11;24;0;30;13;0;28;13;11;18;15;36;42;36;1;4;6;21;48;;;;;;;;
42;lower bound;43;72000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;heuristic;48;50;0;16;30;8;15;8;35;35;39;38;24;24;16;0;36;39;31;20;29;21;10;0;39;37;48;;;;;;;
43;lower bound;45;3600410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;heuristic;46;60;0;2;2;7;0;28;8;15;8;34;0;34;38;40;37;5;24;29;24;22;5;16;37;25;46;;;;;;;
44;lower bound;42;3600340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;heuristic;37;590;0;28;13;0;9;13;19;12;18;28;23;14;9;0;0;7;15;0;30;6;30;29;19;19;37;;;;;;;
45;lower bound;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;heuristic;48;1000;0;6;1;11;0;17;21;38;21;33;30;35;47;40;39;26;47;7;18;0;0;6;25;39;25;48;;;;;;
46;lower bound;47;72000230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;heuristic;55;40;0;0;11;21;22;35;35;1;26;45;22;15;37;11;45;0;6;26;0;21;17;6;8;35;40;55;;;;;;
47;lower bound;52;3600390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;heuristic;53;1000;0;12;13;12;18;31;0;21;34;23;6;31;0;46;21;31;40;10;43;14;14;15;4;11;0;53;;;;;;
48;lower bound;47;72000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;heuristic;38;1000;0;0;0;1;27;3;30;2;2;32;8;37;14;18;14;28;9;20;1;20;7;25;8;10;13;38;;;;;;
49;lower bound;34;3600400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;heuristic;46;50;0;0;7;22;4;17;13;33;12;12;28;27;43;24;18;22;42;23;12;0;21;37;0;30;18;11;46;;;;;
50;lower bound;42;72000290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;heuristic;56;50;0;5;5;32;0;18;26;40;0;12;10;25;32;40;33;50;47;52;42;36;41;13;0;18;43;23;56;;;;;
51;lower bound;53;3600320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;heuristic;52;1000;0;0;4;0;16;10;29;13;6;2;28;13;3;45;19;31;35;35;9;31;39;0;9;0;26;17;52;;;;;
52;lower bound;48;72000100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;heuristic;57;50;0;0;12;22;26;6;27;40;23;27;50;43;22;33;43;0;34;11;6;51;51;20;10;40;23;0;6;57;;;;
53;lower bound;56;72000210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;heuristic;66;60;0;7;11;38;22;17;32;9;22;2;34;8;9;60;51;64;41;31;10;0;49;25;41;0;15;15;5;66;;;;
54;lower bound;64;72000010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;heuristic;65;50;0;0;6;23;28;51;30;45;6;37;34;19;50;60;47;12;45;47;61;14;28;38;23;24;0;4;0;65;;;;
55;lower bound;63;72000230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
