# Author(s);Watermeyer, K., & Zimmermann, J. ;;;
# Reference;Watermeyer, K., & Zimmermann, J. (2021). A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints. OR Spectrum. https://doi.org/10.1007/s00291-021-00654-9;;;
# Date;09/12/2021;;;
# Hardware / software;Coded in C++, compiled with the 64-bit Visual Studio 2017 C++, and run on a single thread of an Intel Core i7-8700 CPU with 3.2 GHz and 64 GB RAM under Windows 10;;;
# Stop criteria(s);"BB1 procedure, with stop criteria set: 300; 600; 1200; 3600 seconds (detailed results: http://solutionsupdate.ugent.be/sites/default/files/results/josecoelho/2022-03-07/results_BB1_cv.zip)";;;
# Submission date; 2022/03/07;;;
ID;Type;Value;Time;Solution
398;heuristic;65;3600000;
398;lower bound;26;3600000;
399;heuristic;62;3600000;
399;lower bound;36;3600000;
400;heuristic;60;3600000;
400;lower bound;50;3600000;
401;optimal;64;224408;
402;heuristic;69;3600000;
402;lower bound;39;3600000;
403;heuristic;90;3600000;
403;lower bound;48;3600000;
404;heuristic;57;3600000;
404;lower bound;29;3600000;
405;heuristic;70;3600000;
405;lower bound;49;3600000;
406;heuristic;67;3600000;
406;lower bound;40;3600000;
407;heuristic;65;3600000;
407;lower bound;40;3600000;
408;heuristic;60;3600000;
408;lower bound;27;3600000;
409;heuristic;79;3600000;
409;lower bound;43;3600000;
410;heuristic;69;3600000;
410;lower bound;38;3600000;
411;heuristic;62;3600000;
411;lower bound;30;3600000;
412;heuristic;69;3600000;
412;lower bound;45;3600000;
413;heuristic;63;3600000;
413;lower bound;35;3600000;
414;heuristic;73;3600000;
414;lower bound;36;3600000;
415;heuristic;80;3600000;
415;lower bound;42;3600000;
416;heuristic;72;3600000;
416;lower bound;37;3600000;
417;heuristic;59;3600000;
417;lower bound;24;3600000;
418;heuristic;72;3600000;
418;lower bound;38;3600000;
419;optimal;63;3313340;
420;heuristic;75;3600000;
420;lower bound;43;3600000;
421;heuristic;68;3600000;
421;lower bound;41;3600000;
422;heuristic;61;3600000;
422;lower bound;32;3600000;
423;heuristic;69;3600000;
423;lower bound;31;3600000;
424;optimal;70;357850;
425;heuristic;72;3600000;
425;lower bound;50;3600000;
426;optimal;71;3567040;
427;heuristic;77;3600000;
427;lower bound;29;3600000;
428;heuristic;59;3600000;
